Problem,Numeric Equation
"Alice has 5 apples, and she gives 2 to Bob.",5 - 2 = 3
"There are 8 birds on a tree. 3 more birds join them.",8 + 3 = 11
"Sara has 6 red balloons and 4 blue balloons.",6 + 4 = 10
"Tom has 7 marbles. He loses 2 marbles while playing.",7 - 2 = 5
"A box contains 9 chocolates. If 3 chocolates are eaten,",9 - 3 = 6
"There are 12 students in a class. If 5 students are absent,",12 - 5 = 7
"Emily has 10 cookies. She shares them equally among her 2 friends.",10 ÷ 2 = 5
"David has $15. He buys a toy for $8.",15 - 8 = 7
"There are 6 pens in a drawer. If 2 pens are taken out,",6 - 2 = 4
"Jenny saves $5 every week. How much money will she save in 4 weeks?",5 × 4 = 20
"Sam has 9 stickers. He gives 3 stickers to his sister.",9 - 3 = 6
"There are 15 flowers in a garden. If 8 flowers are picked,",15 - 8 = 7
"Alex has 4 red balls and 6 green balls.",4 + 6 = 10
"A book has 20 pages. If 5 pages are torn,",20 - 5 = 15
"Laura has $18. She spends $12 on a dress.",18 - 12 = 6
"A rectangle has a length of 8 cm and a width of 3 cm.",8 × 3 = 24
"There are 14 candies in a jar. If 2 candies are taken out every day,",14 - (2 × 7) = 0
"John has 9 toy cars. He buys 5 more.",9 + 5 = 14
"A train travels 40 miles in the morning and 30 miles in the afternoon.",40 + 30 = 70
"There are 25 students in a class. If 1/5 of the students are absent,",25 - (1/5 × 25) = 20
